columns,kernel,gamma,cost,error,dispersion,degree
all,sigmoid,1,1,0.3464598997493734,0.041325275989115284,NA
all,sigmoid,10,1,0.33226817042606516,0.03672241092646815,NA
all,sigmoid,100,1,0.33919172932330827,0.024682108996107167,NA
all,sigmoid,1000,1,0.34467418546365913,0.04609672585986072,NA
all,sigmoid,0.001,10,0.20961779448621554,0.05299693712917669,NA
all,sigmoid,0.01,10,0.27512531328320805,0.074085101633492,NA
all,sigmoid,0.1,10,0.33909774436090223,0.06164265853927284,NA
all,sigmoid,1,10,0.35526315789473684,0.046782693331202704,NA
all,sigmoid,10,10,0.35711152882205516,0.04237436394641069,NA
all,sigmoid,100,10,0.337437343358396,0.031737597398897775,NA
all,sigmoid,1000,10,0.33941102756892233,0.044386136697834366,NA
all,sigmoid,0.001,100,0.2219298245614035,0.0758584235625034,NA
all,sigmoid,0.01,100,0.3,0.08900983089909133,NA
all,sigmoid,0.1,100,0.3445175438596491,0.0668898655535524,NA
all,sigmoid,1,100,0.3516917293233083,0.0508399437425604,NA
all,sigmoid,10,100,0.3518796992481203,0.05348307050177361,NA
all,sigmoid,100,100,0.3409147869674185,0.029518453496703574,NA
all,sigmoid,1000,100,0.3411967418546366,0.04473834609289344,NA
all,sigmoid,0.001,1000,0.23771929824561405,0.07220704870966953,NA
all,sigmoid,0.01,1000,0.300093984962406,0.08525569522107214,NA
all,sigmoid,0.1,1000,0.349749373433584,0.043443745544306515,NA
all,sigmoid,1,1000,0.3516917293233083,0.0508399437425604,NA
all,sigmoid,10,1000,0.35366541353383457,0.05462667673038146,NA
all,sigmoid,100,1000,0.34273182957393483,0.032598853610564006,NA
all,sigmoid,1000,1000,0.33941102756892233,0.04275986172743976,NA
readforms,linear,0,0.001,0.2806390977443609,0.055634566085985326,NA
readforms,linear,0,0.01,0.2629385964912281,0.05403689862541115,NA
readforms,linear,0,0.1,0.26651002506265664,0.05158879188063119,NA
readforms,linear,0,1,0.2789160401002506,0.04243366795349149,NA
readforms,linear,0,10,0.2788847117794486,0.04136387764198188,NA
readforms,radial,0.001,0.01,0.4493421052631579,0.06303181502274764,NA
readforms,radial,0.01,0.01,0.4493421052631579,0.06303181502274764,NA
readforms,radial,0.1,0.01,0.41384711779448624,0.09656082146405501,NA
readforms,radial,1,0.01,0.4493421052631579,0.06303181502274764,NA
readforms,radial,10,0.01,0.4493421052631579,0.06303181502274764,NA
readforms,radial,100,0.01,0.4493421052631579,0.06303181502274764,NA
readforms,radial,1000,0.01,0.4493421052631579,0.06303181502274764,NA
readforms,radial,0.001,0.1,0.4493421052631579,0.06303181502274764,NA
readforms,radial,0.01,0.1,0.2735588972431078,0.06144217748205499,NA
readforms,radial,0.1,0.1,0.25391604010025065,0.06735843965564382,NA
readforms,radial,1,0.1,0.2681077694235589,0.06282468415433833,NA
readforms,radial,10,0.1,0.4119674185463659,0.0689096466944605,NA
readforms,radial,100,0.1,0.4493421052631579,0.06303181502274764,NA
readforms,radial,1000,0.1,0.4493421052631579,0.06303181502274764,NA
readforms,radial,0.001,1,0.2718045112781955,0.0630349550811389,NA
readforms,radial,0.01,1,0.2575501253132832,0.06838596822149351,NA
readforms,radial,0.1,1,0.25933583959899753,0.06260036459007141,NA
readforms,radial,1,1,0.24508145363408523,0.06339891191634092,NA
